##name	Finance, Economy, Law and Business
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2005/08/13, 09:30
##author	Yael Sela-Shapiro
##description	This glossary holds financial, economic and legal terms. All terms are verified. \nPlease note that some terms may have more than one translation.
##browsingEnabled	
##bgl_creationTime	2004/02/25, 07:52
8EAF66FD.bmp	File: 8EAF66FD.bmp
logical security	אבטחה לוגית [על פי מכון התקנים]
lower control limit|LCL	גבול בקרה תחתון (בבקרת תהליכים)
lower specification limit|LSL	גבול מפרָט תחתון (בבקרת תהליכים)
magistrate's Juvenile Court|Juvenile Court|Magistrate's Young offenders Court	בית משפט השלום לנוער
maintainability	תחזוקתיות (בניהול איכות) - יכולת הארגון לתחזק את מערכותיו.
malicious prosecution	עוולת נגישׂה
management by objectives|MBO	ניהול על פי יעדים
managerial control	בקרה ניהולית
manufacturing cycle	מחזור ייצור
marketable securities|marketable security	ניירות ערך סחירים
master budget	תקציב אב
matching	הקבלה
maximization	השׂאה
maximize	להשיא
mean Time To Repair|MTTR	זמן ממוצע לתיקון תקלה (בניהול איכות)
midrange computer	מחשב ביניים
misstatement	הודעה כוזבת
mobility allowance	גמלת ניידות (חלק ממזונות המשולמים בין זוג גרוש)
money market mutual fund	קרן כספים
mortgage bond|mortgage bonds	אגרת חוב במשכנתא
multistage sampling	דגימה רבת שלבים
mystery shopper	לקוח סמוי
naked option|naked	*אופציה עירומה*<BR>אופציה ללא כיסוי<BR>
national association of purchasing managers|NAPM	האגודה הלאומית של הקניינים / מנהלי הרכש
net value	שווי נקי
non-indexed|nonindexed	לא צמוד
noncurrent|non-current	לא שוטף
note payable|notes payable	שטר לפרעון
note receivable|notes receivable	שטרות לקבל
notional Interest	ריבית רעיונית
observable	נצפה
observation	הבחנה
observed	נצפה
obsolete	מיושן, להתיישן
occurence	אירוע
occurence rate	שיעור ההיארעות
offsetting contract	עסקה הפוכה
oligopolistic Coordination	תיאום אוליגופוליסטי
on hand	(מלאי) בעין
online real-time processing|OLRT|online real time processing|online realtime processing	עיבוד מקוון בזמן אמת
operating asset|operating assets	נכס תפעולי
operating cost	עלות תפעולית / עלות הפעלה
operating income	הכנסה תפעולית
operating lease	חכירה תפעולית
operational Utility	תועלת מבצעית (בניהול איכות) - יכולתה של המערכת לבצע את התפקיד אשר נועד לה
operational audit	ביקורת ניהול
option plan	תוכנית הקצאה
order entry	(מערכת) הזנת הזמנות
original Maturity	פירעון מקורי
origination fee	עמלה ראשונית
out of the money|out-of-the-money	"מחוץ לכסף" [מקובל בקרב רואי חשבון לומר כך]<BR>מחוץ לתחום הכדאיות
outflow	(מזומנים) לפעילות
outstanding balance	יתרת חוב
outstanding bond	אג"ח ביד הציבור
outstanding check|outstanding checks	המחאה שטרם נפרעה
outstanding debt	חוב שוטף / חוב שטרם נפרע
outstanding stock|outstanding stocks	מניה המצויה בידי הציבור
overcapitalization	היוון יתר
overstatement|overstate|overstated	הערכה מופרזת ; דיווח-יתר
pad|padding	לרפד, ריפוד
parallel Testing	בדיקה מקבילה
parity check	בידוק זוגיוּת (סטטיסטיקה)
participative management	ניהול שתפני
past consideration	תמורה שבעבר
past service cost|past-service cost|pastservice cost	עלות ותק
pay as you go	מימון שוטף / פנסיה שוטפת
payable account|payable	חשבון זכאים
payable bond|payable bonds	אג"ח לפרעון
payback	החזר / פרעון
payback period	תקופת החזר / פרעון
payroll department|payroll	מחלקת שכר
payroll distribution	התפלגות שכר
payroll register	פנקס שכר
per capita	לנפש
perceived value	ערך נתפס
percentage of completion	אחוז השלמה (שיטה חשבונאית)
performance commitment	מחויבות ביצועית
permanent file	תיק קֶבע
perpetual inventory	מלאי מתמיד
personal consumption expenditure|PCE	הוצאות לצריכה עצמית
personal gain	רווח אישי
pooling of interests|pool interests	איחוד עניין (שיטה חשבונאית למיזוג עסקים)
predatory pricing|predatory	תמחור טורף
preemptive right|preemptive	זכות קדימה
preferred share|preferred shares	מניות מועדפות / מניות בכורה
preleminary survey	סקר מִקדמי
preprocess|pre-process	עיבוד מקדים
present value of debt to GDP|present value of debt to GDP ratio|ratio of present value of debt to GDP	יחס הערך הנוכחי של החוב לתמ"ג
present value of debt to export|present value|present value of debt to export ratio|ratio of present value of debt to export	יחס הערך הנוכחי של החוב לייצוא
price-to-earnings ratio|price to earnings|price-to-earning|price-to-earnings	מכפיל-רווח
