##name	Country Phone Codes
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/01/20, 11:57
##author	Nivi Naor
##description	Just about every international phone code you can think of.
##browsingEnabled	
##bgl_creationTime	2001/01/17, 15:12
8EAF66FD.bmp	File: 8EAF66FD.bmp
United States - Missouri	1314
United States - Montana	1406
United States - Nebraska	1402
United States - Nevada	1702
United States - New Hampshire	1603
United States - New Jersey	1609
United States - New Mexico	1505
United States - New York	1914
United States - North Carolina	1919
United States - North Dakota	1701
United States - Ohio	1614
United States - Oklahoma	1405
United States - Oregon	1503
United States - Pennsylvania	1814
United States - Rhode Island	1401
United States - South Carolina	1803
United States - South Dakota	1605
United States - Tennessee	1901
United States - Texas	1817
United States - Utah	1801
United States - Vermont	1802
United States - Virginia	1804
United States - Washington	1509
United States - West Virginia	1304
United States - Wisconsin	1414
United States - Wyoming	1307
Upper Volta	226
Uruguay	598
US Telex-Alaska	1907
US Telex-AT&T	1
US Telex-FTCC	1
US Telex-Graphnet	1
US Telex-Hawaii	1808
US Telex-Hawaii AT&T	1808
US Telex-RCA	1
US Telex-TRT	1
US Telex-WU WORLDCOM	1
US Telex-WUC	1
US Telex-WUI/MCI	1
UUNet Clients	1
Vanuatu (New Hebrides)|Vanuatu	678
Vatican City	39
Vatican City Via Italy	39
Venezuela	58
Vietnam	84
Virgin Is. British	1809
Virgin Is. U.S.	1809
Wallis & Futuna Is.	681
Western Samoa	685
Yemen Arab Rep. (Formerly N.)|Yemen Arab Rep.	969
Yemen Dem. Rep. (Formerly S.)|Yemen Dem. Rep.	967
Yugoslavia	38
Zaire Rep. of	243
Zambia	260
Zanzibar (Tanzania)|Zanzibar	259
Zimbabwe (Rhodesia)|Zimbabwe	263
